word,count
"cushions",6
"custom",4
"customs",1
"cut",6
"cuts",1
"cutting",2
"dabbled",1
"daffodil",1
"dagger",2
"daily",4
"dainties",3
"daintiest",3
"daintily",4
"dainty",13
"dainty-wrought",1
"dairy",1
"dais",16
"daisied",1
"dale",89
"dale-side",1
"dales",1
"dale’s",3
"dallied",1
"dally",1
"dame",42
"dame’s",2
"damned",1
"damsel",19
"damsel-errant",1
"damsels",18
"damsel’s",1
"dance",1
"danced",3
"dancing",2
"dapple-grey",1
"dare",8
"dared",1
"daring",3
"dark",25
"dark-haired",3
"darkened",1
"darkens",1
"darker",2
"darkest",2
"darkness",3
"darling",9
"darlings",1
"dashed",1
"dastard",1
"dastards",2
"daubed",1
"daughter",10
"daunted",1
"dawn",19
"dawning",1
"day",235
"day-dawn",1
"day-long",1
"daybreak",1
"daylight",7
"daylong",1
"days",135
"days’",8
"day’s",1
"dazed",1
"dazzled",1
"dead",63
"deadly",4
"deal",35
"dealing",5
"dealings",6
"deals",1
"dealt",4
"dear",131
"dear-bought",1
"dear-handed",1
"dearer",1
"dearest",6
"dearlings",1
"dearly",3
"death",45
"deaths",1
"debonair",5
"debtor",1
"deceitful",1
"decked",1
"declare",3
"declared",1
"deed",17
"deeds",7
"deem",89
"deemed",129
"deemest",11
"deemeth",2
"deeming",16
"deems",1
"deep",23
"deepened",2
"deeper",2
"deer",9
"deer-leather",1
"deer-skin",3
"deerskins",1
"defence",4
"defences",1
"defend",1
"deferred",1
"defied",1
"deft",10
"deftest",1
"deftly",5
"deftness",5
"delahaye",1
"delay",3
"delicate",3
"delicious",1
"delight",2
"deliver",12
"deliverance",7
"delivered",10
"deliverer",1
"delivereth",1
"demeanour",4
"den",2
"denied",2
"deny",1
"depart",43
"departed",27
"departing",2
"departure",21
"departures",1
"depth",1
"depths",2
"deputy",1
"desert",5
"deserved",2
"deservest",1
"desire",34
"desired",5
"desires",2
"desirest",1
"desireth",1
"desiring",2
"desirous",1
"desolate",1
"despair",2
"despite",22
"destroy",6
"destroyed",2
"destroyer",1
"destroying",1
"destruction",1
"determined",4
"device",3
"devil",7
"devilish",3
"devils",7
"devil’s",1
"devise",1
"devised",1
"devising",1
"devour",3
"devoured",1
"dew",1
"dews",1
"dewy",1
"did",194
"didst",24
"die",22
"died",19
"dieth",1
"differed",1
"difference",1
"different",1
"difficult",1
"dig",1
"digged",1
"digging",3
"dight",27
"dighted",2
"dighting",3
"diligence",1
"diligent",4
"diligently",2
"dim",7
"dim-eyed",1
"dimly",4
"dine",1
"dined",1
"dining",1
"dinner",8
"disappointed",1
"disarray",1
"disarrayed",2
"dish",2
"dishearten",1
"disheartened",1
"dishes",2
"dismal",3
"dismayed",4
"dismount",2
"disobey",2
"disobeyed",1
"displayed",2
"displeasure",1
"disport",4
"disported",1
"disporting",2
"distance",2
"distant",1
"distraught",3
"divers",6
"diverse",3
"diversely",2
"divined",3
"dizzy",1
"do",317
"doe",2
"doest",2
"doeth",2
"dog",3
"dog-wood",1
"dogging",1
"dogs",2
"doing",19
"doings",3
"dole",1
"dolts",1
"dominion",3
"don",1
"done",164
"doom",3
"doom-ring",3
"doomed",1
"door",48
"doors",4
"dost",32
"doth",12
"double",1
"doubt",29
"doubted",10
"doubteth",1
"doubtfully",4
"doubtless",10
"doughty",4
"doves",7
"down",361
"downcast",19
"downhearted",2
"downland",6
"downright",1
"downs",1
"downstairs",3
"downward",1
"dozen",2
"drag",3
"dragged",9
"dragging",1
"dragons",2
"drank",19
"draught",5
"draught-beast",1
"draughts",2
"drave",6
"draw",16
"drawbridge",1
"drawest",1
"draweth",1
"drawing",13
"drawn",16
"dread",11
"dreaded",1
"dreadful",1
"dream",11
"dreamed",4
"dreaming",1
"dreamless",2
"dreamlessly",2
"dreams",2
"dreary",4
"dregs",1
"drenched",1
"drew",99
"dried",2
"drifted",1
"drifting",1
"drink",37
"drinking",1
"drinks",2
"dripped",1
"dripping",1
"drive",5
"driven",4
"drives",1
"driveth",1
"driving",3
"drooped",2
"drooping",1
"drop",3
"dropped",3
"drown",3
"drowned",1
"drowsing",1
"drunk",10
"dry",9
"dry-eyed",2
"ducks",2
"due",19
"dug",2
"duke",1
"dukes",1
"dull",8
"dull-wit",1
"dull-witted",1
"dullness",1
"duly",6
"dumb",2
"dumbfoundered",1
"dun",3
"dungeon",1
"during",1
"durst",34
"dusk",14
"duskiness",1
"dusking",1
"dust",2
"dust-cloud",1
"dwarf-wrought",1
"dwell",19
"dwellest",1
"dwelleth",4
"dwelling",15
"dwelling-place",3
"dwellings",1
"dwells",1
"dwelt",22
"dwelt-land",1
"dwindled",1
"dying",4
"each",71
"eager",16
"eagerly",14
"eagerness",1
"eagle",1
"ear",7
"earl",3
"earl-folk",1
"earlier",6
"earliest",1
"earls",1
"early",17
"earn",7
"earned",2
"earnestly",5
"earneth",1
"ears",5
"earshot",3
"earth",54
"earthly",1
"earth’s",1
"ease",13
"eased",1
"easier",4
"easiest",1
"easily",12
"east",8
"eastern",4
"eastward",2
"easy",14
"eat",30
"eaten",7
"eating",4
"echo",2
"edge",20
"edge-friend",1
"edges",4
"egg",1
"egging",1
"eglantine",4
"eight",1
"either",41
"eke",2
"eked",5
"eking",1
"elbow",2
"elbows",1
"eld",2
"elder",8
"eldest",1
"elf",2
"else",73
"elsewhere",3
"elsewhither",2
"embraced",13
"embracing",2
"embroidered",2
"embroiderers",1
"embroideress",1
"emerald",1
"empty",8
"empty-handed",1
"encamped",1
"enchanted",1
"encompass",1
"encompassed",3
"encompasses",1
"end",66
"end-long",2
"endearing",1
"endearments",1
"ended",5
"ending",10
"endlong",1
"ends",8
"endure",5
"endured",3
"enduring",1
"enemies",1
"enemy",4
"enforced",6
"engender",1
"engines",2
"enheartened",1
"enheartening",1
"enmity",2
"enough",73
"enow",3
"ensnaring",1
"enter",22
"entered",28
"entering",3
"entrap",1
"entrapped",1
"entreat",2
"entry",3
"envenomed",1
"environed",1
"equal",1
"ere",84
"erewhile",5
"ern",1
"err",1
"errand",66
"errands",4
"erred",3
"erst",45
"escape",12
"escaped",10
"escaping",2
"especial",6
"especially",8
"espied",5
"espy",1
"estcliffe",1
"estrangement",1
"eve",3
"even",168
"evening",22
"eventide",2
"ever",114
"evermore",1
"every",36
"everyone",1
"everything",7
"everywhere",5
"evil",85
"evil-looking",1
"evilly",2
"evilshaw",32
"ewes’",2
"exceeded",1
"exceeding",26
"excellency",1
"excellent",2
"excellently",2
"excuse",1
"expected",1
"eye",9
"eye-shot",2
"eyebrows",2
"eyed",3
"eyeless",1
"eyelids",1
"eyen",4
"eyes",124
"eyot",36
"eyots",6
"e’en",14
"face",158
"faced",1
"faces",10
"facing",4
"faded",2
"faery",9
"fail",15
"failed",16
"failedst",1
"faileth",3
"failing",1
"failure",1
"fain",46
"fainer",2
"faint",7
"fainting",1
"faintly",4
"faintness",1
"fair",212
"fair-broidered",1
"fair-faced",1
"fair-weather",1
"fair-writer",1
"fairer",18
"fairest",7
"fairly",5
"fairness",4
"faith",1
"faithful",3
"faithfully",1
"fall",38
"fallen",13
"falling",10
"falls",1
"false",4
"falter",1
"faltered",4
"fame",2
"familiar",8
"famished",2
"famous",1
"fancy",1
"fangs",1
"far",54
"far-away",1
"far-fetched",1
"far-off",2
"far-seeing",1
"far-sighted",2
"fare",23
"fared",27
